id,layer,suite,criticality,gate,test,stimulus,required_result,evidence,initial_status
CT01,Inherited 224 falsification registry,Contracts & identity,P0,G0,Fill symbol is mandatory,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Reject any fill without an attested instrument; no intent-based guess may enter P&L.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
CT02,Inherited 224 falsification registry,Contracts & identity,P0,G0,Fill side and position effect are mandatory,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Every fill distinguishes buy/sell and open/close/reduce; reconstruct direction exactly.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
CT03,Inherited 224 falsification registry,Contracts & identity,P0,G0,Liquidity role is venue-confirmed,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","Maker/taker comes from venue execution, never order intent.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
CT04,Inherited 224 falsification registry,Contracts & identity,P0,G0,Stable setup identity,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","Same structure produces the same setup ID across packets, TTL expiry and restart.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
CT05,Inherited 224 falsification registry,Contracts & identity,P0,G0,Attempt and campaign identity separation,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Every order attempt is a child of one setup; every campaign groups all position-affecting fills.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
CT06,Inherited 224 falsification registry,Contracts & identity,P0,G0,Client order ID idempotence,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Duplicate submit/retry cannot create a second live order.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
CT07,Inherited 224 falsification registry,Contracts & identity,P0,G0,Engine and config fingerprint,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","Every feature, candidate, order, fill and outcome carries immutable code/config hashes.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
CT08,Inherited 224 falsification registry,Contracts & identity,P0,G0,Schema-version migration,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Old and new events coexist without silent defaults; unsupported versions fail closed.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
CT09,Inherited 224 falsification registry,Contracts & identity,P0,G0,Decimal and unit contract,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","Prices, quantities, bps, quote/base notional and R units round-trip without float drift.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
CT10,Inherited 224 falsification registry,Contracts & identity,P0,G0,Event lineage completeness,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Outcome traces raw events → packet → capsule → decision → risk → order → fill → campaign.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
CT11,Inherited 224 falsification registry,Contracts & identity,P0,G0,Unknown-field doctrine,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","Missing economically material fields yield NOT_MEASURABLE, never zero or neutral.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
CT12,Inherited 224 falsification registry,Contracts & identity,P0,G0,Duplicate venue-trade rejection,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",The same venue trade ID cannot be booked twice across reconnect/replay.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
CT13,Inherited 224 falsification registry,Contracts & identity,P0,G0,Fee asset conversion,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Fees in non-quote assets convert using causally valid marks and retain original amount/asset.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
CT14,Inherited 224 falsification registry,Contracts & identity,P0,G0,Contract property fuzzing,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Random valid/invalid envelopes preserve invariants and fail deterministically.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
DT01,Inherited 224 falsification registry,Data & event time,P0,G1,Candle gap propagation,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Injected missing bars invalidate continuity-dependent features until a clean window is rebuilt.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
DT02,Inherited 224 falsification registry,Data & event time,P0,G1,Retired endpoint removal,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",No request is made to retired allForceOrders; liquidation WS health is independent.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
DT03,Inherited 224 falsification registry,Data & event time,P0,G1,Per-symbol concurrent polling,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",One slow endpoint cannot delay later symbols beyond the registered freshness SLO.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
DT04,Inherited 224 falsification registry,Data & event time,P0,G1,Local book sequence continuity,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Snapshot + diff reconstruction detects U/u/pu gaps and resynchronizes before signals.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
DT05,Inherited 224 falsification registry,Data & event time,P0,G1,Event/receipt clock separation,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","All records retain exchange event time and local receive time; latency is measured, not overwritten.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
DT06,Inherited 224 falsification registry,Data & event time,P0,G1,Clock skew injection,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",±N ms skew trips quality gates according to policy without changing historical event order.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
DT07,Inherited 224 falsification registry,Data & event time,P0,G1,Equal-timestamp permutation,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","Venue sequence, not source concatenation order, determines the canonical state.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
DT08,Inherited 224 falsification registry,Data & event time,P0,G1,Late event policy,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Late trades/books are either causally inserted before watermark or quarantined with attribution.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
DT09,Inherited 224 falsification registry,Data & event time,P0,G1,Closed-bar observability,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",A bar becomes eligible only after its venue-close information was knowable.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
DT10,Inherited 224 falsification registry,Data & event time,P0,G1,Backfill/live seam,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","Backfill and first live events produce no duplicate, gap or future-aware candle.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
DT11,Inherited 224 falsification registry,Data & event time,P0,G1,WebSocket migration conformance,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Current Binance public/private base URLs and payload fields pass daily contract probes.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
DT12,Inherited 224 falsification registry,Data & event time,P0,G1,Snapshot staleness,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Stale mark/book/OI/funding fields become explicit null/degraded and block dependent capsules.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
DT13,Inherited 224 falsification registry,Data & event time,P0,G1,Instrument metadata freshness,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","Tick, step, min/max quantity and min notional are loaded, hashed and age-attested at boot.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
