id,phase,workstream,task,owner,priority,dependency,acceptance_evidence,gate,initial_status
CHK-0001,−1,Repositories,"Audit, repair, and certify TriadEngine",Platform/Engine,P0,REP-001,"Current behavior is reproduced, gap is closed to: Retained chassis; legacy E02 frozen control/bridge. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0002,−1,Repositories,Certify and attest TriadIntelligence,Intelligence,P1,REP-002,Pinned implementation is independently verified against: Separate advisory treatment route. No unverified inherited behavior enters authority.,Phase −1 inventory closure,NOT_STARTED
CHK-0003,−1,Repositories,"Audit, repair, and certify TriadExecutor",Risk/Execution,P0,REP-003,"Current behavior is reproduced, gap is closed to: E07/E08/E09 responsibilities contract-separated. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0004,−1,Repositories,Certify and attest TriadVenueGateway,Execution,P0,REP-004,Pinned implementation is independently verified against: E09 sole raw-credential holder and venue truth. No unverified inherited behavior enters authority.,Phase −1 inventory closure,NOT_STARTED
CHK-0005,−1,Repositories,Certify and attest TriadLearning,Learning,P1,REP-005,Pinned implementation is independently verified against: Read-only evidence and governed artifact proposal. No unverified inherited behavior enters authority.,Phase −1 inventory closure,NOT_STARTED
CHK-0006,−1,Repositories,"Audit, repair, and certify TriadDTBNK",Data,P1,REP-006,"Current behavior is reproduced, gap is closed to: Projection store; not sole replay tape until certified. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0007,−1,Repositories,Certify and attest TriadRelay,Platform,P2,REP-007,Pinned implementation is independently verified against: Keyless read-only relay only. No unverified inherited behavior enters authority.,Phase −1 inventory closure,NOT_STARTED
CHK-0008,−1,Repositories,Register deferment and isolate TriadInQuest,Evidence,P3,REP-008,"Deferred scope, rationale, owner, re-entry gate and dependency isolation are recorded; first-wave artifacts do not depend on it. Target: Investigation/evidence only.",Phase −1 inventory closure,NOT_STARTED
CHK-0009,−1,Repositories,Certify and attest TriadKronos,Forecast,P2,REP-009,Pinned implementation is independently verified against: Treatment-only forecast service. No unverified inherited behavior enters authority.,Phase −1 inventory closure,NOT_STARTED
CHK-0010,−1,Repositories,"Audit, repair, and certify TriadForecast",Forecast,P2,REP-010,"Current behavior is reproduced, gap is closed to: Treatment-only; resolve overlap with Kronos. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0011,−1,Repositories,Register deferment and isolate TriadLLM,Intelligence,P3,REP-011,"Deferred scope, rationale, owner, re-entry gate and dependency isolation are recorded; first-wave artifacts do not depend on it. Target: Treatment-only.",Phase −1 inventory closure,NOT_STARTED
CHK-0012,−1,Repositories,Register deferment and isolate TriadLLMCore,Intelligence,P3,REP-012,"Deferred scope, rationale, owner, re-entry gate and dependency isolation are recorded; first-wave artifacts do not depend on it. Target: Treatment-only.",Phase −1 inventory closure,NOT_STARTED
CHK-0013,−1,Repositories,"Audit, repair, and certify TriadMissionControl",Operations,P2,REP-013,"Current behavior is reproduced, gap is closed to: Read-only activation/evidence UI unless separately governed. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0014,−1,Repositories,Register deferment and isolate TriadAgent,Automation,P3,REP-014,"Deferred scope, rationale, owner, re-entry gate and dependency isolation are recorded; first-wave artifacts do not depend on it. Target: No money authority.",Phase −1 inventory closure,NOT_STARTED
CHK-0015,−1,Repositories,Register deferment and isolate TriadUPDOWN,Owner TBD,P3,REP-015,"Deferred scope, rationale, owner, re-entry gate and dependency isolation are recorded; first-wave artifacts do not depend on it. Target: Out of initial ORIGIN scope.",Phase −1 inventory closure,NOT_STARTED
CHK-0016,−1,Repositories,Drain and retire quant-trade-0 / yolonaut-1 / yolobotv2-2 / uponly-core-3 / newnaut-4 / pulse-5,Archive owner,P1,REP-016,"No active producer, consumer, credential, config, runbook or deployment depends on the item; retained evidence is archived and replacement 'Evidence corpus only; no code inheritance' is proven.",Phase −1 inventory closure,NOT_STARTED
CHK-0017,−1,Repositories,Implement TriadOrigin,ORIGIN team,P0,REP-017,Target exists as specified: New clean-room repository. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase −1 inventory closure,NOT_STARTED
CHK-0018,−1,Processes,"Audit, repair, and certify feeds",Data,P0,SRV-001,"Current behavior is reproduced, gap is closed to: Certified E00 base-feed collector. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0019,−1,Processes,"Audit, repair, and certify feeds-liq-ws",Data,P1,SRV-002,"Current behavior is reproduced, gap is closed to: Supported routed source or honest degraded null. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0020,−1,Processes,"Audit, repair, and certify triad_engine",Engine,P0,SRV-003,"Current behavior is reproduced, gap is closed to: Transitional E01 publisher + frozen legacy control. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0021,−1,Processes,Implement triad-origin-e02,ORIGIN,P0,SRV-004,Target exists as specified: Standalone no-credential ORIGIN service. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase −1 inventory closure,NOT_STARTED
CHK-0022,−1,Processes,Implement legacy-input-bridge,ORIGIN/Platform,P0,SRV-005,Target exists as specified: candidate.v1/context compatibility bridge. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase −1 inventory closure,NOT_STARTED
CHK-0023,−1,Processes,Implement edge-comparator,Evidence,P1,SRV-006,Target exists as specified: Side-effect-free legacy/ORIGIN diff worker. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase −1 inventory closure,NOT_STARTED
