id,domain,kind,item,current_state,target_state,disposition,owner,priority,evidence_or_gap
REP-001,Repositories,repository,TriadEngine,Pinned at 70eae19e0cc4c8e7004e4ce0965679c1291aa290,Retained chassis; legacy E02 frozen control/bridge,REPAIR,Platform/Engine,P0,Source verified; deployment not freshly traced
REP-002,Repositories,repository,TriadIntelligence,Pinned at 9727a6717cb9bfa5aca86d24a5bed5ffdd75f6fe,Separate advisory treatment route,RETAIN,Intelligence,P1,Source verified
REP-003,Repositories,repository,TriadExecutor,Pinned at d1d371d833038c9d715c3572328d8557942a9d8b,E07/E08/E09 responsibilities contract-separated,REPAIR,Risk/Execution,P0,Source verified; current coupling
REP-004,Repositories,repository,TriadVenueGateway,Pinned at 1d945ff41cccec173b1dea3d1fc1ba619f482a00,E09 sole raw-credential holder and venue truth,RETAIN,Execution,P0,Source verified; keyholder documentation conflict to close
REP-005,Repositories,repository,TriadLearning,Pinned at c93860bad7b6b9369f0636873a2225711312485f,Read-only evidence and governed artifact proposal,RETAIN,Learning,P1,Source verified
REP-006,Repositories,repository,TriadDTBNK,Pinned at 6df9f4aa24469843796d69fbb3b1d0b0052e4909,Projection store; not sole replay tape until certified,REPAIR,Data,P1,Source verified; tape incomplete
REP-007,Repositories,repository,TriadRelay,Accessible estate repository,Keyless read-only relay only,RETAIN,Platform,P2,Repository inventory; fresh implementation trace pending
REP-008,Repositories,repository,TriadInQuest,Accessible estate repository,Investigation/evidence only,DEFER,Evidence,P3,Scope not required for first ORIGIN gate
REP-009,Repositories,repository,TriadKronos,Accessible forecast repository,Treatment-only forecast service,RETAIN,Forecast,P2,Does not gate deterministic control
REP-010,Repositories,repository,TriadForecast,Accessible forecast repository,Treatment-only; resolve overlap with Kronos,REPAIR,Forecast,P2,Owner/authority overlap inventory required
REP-011,Repositories,repository,TriadLLM,Accessible intelligence repository,Treatment-only,DEFER,Intelligence,P3,No deterministic dependency
REP-012,Repositories,repository,TriadLLMCore,Accessible intelligence repository,Treatment-only,DEFER,Intelligence,P3,No deterministic dependency
REP-013,Repositories,repository,TriadMissionControl,Accessible operations repository,Read-only activation/evidence UI unless separately governed,REPAIR,Operations,P2,Control verbs must be inventoried
REP-014,Repositories,repository,TriadAgent,Accessible agent repository,No money authority,DEFER,Automation,P3,Explicit boundary test required if connected
REP-015,Repositories,repository,TriadUPDOWN,Accessible repository,Out of initial ORIGIN scope,DEFER,Owner TBD,P3,No first-venue dependency
REP-016,Repositories,repository,quant-trade-0 / yolonaut-1 / yolobotv2-2 / uponly-core-3 / newnaut-4 / pulse-5,Legacy engine organizations inspected historically,Evidence corpus only; no code inheritance,RETIRE,Archive owner,P1,Preserve licenses/provenance/golden behaviors; do not copy wholesale
REP-017,Repositories,repository,TriadOrigin,Does not yet exist in verified baseline,New clean-room repository,BUILD,ORIGIN team,P0,Name/namespace ratified for spec; repository creation pending
SRV-001,Processes,service/process,feeds,Current static keeper,Certified E00 base-feed collector,REPAIR,Data,P0,Route/coverage/session tests pending
SRV-002,Processes,service/process,feeds-liq-ws,Current liquidation collector,Supported routed source or honest degraded null,REPAIR,Data,P1,Retired/unsupported endpoint audit
SRV-003,Processes,service/process,triad_engine,Coupled E01+E02 process,Transitional E01 publisher + frozen legacy control,REPAIR,Engine,P0,Process split can lag contract split
SRV-004,Processes,service/process,triad-origin-e02,Absent,Standalone no-credential ORIGIN service,BUILD,ORIGIN,P0,"Kernel, contracts, deployment needed"
SRV-005,Processes,service/process,legacy-input-bridge,Absent,candidate.v1/context compatibility bridge,BUILD,ORIGIN/Platform,P0,Removal criteria required
SRV-006,Processes,service/process,edge-comparator,Absent,Side-effect-free legacy/ORIGIN diff worker,BUILD,Evidence,P1,Reads same offsets; no E07 rights
SRV-007,Processes,service/process,edge-authority-router,No standalone verified process,Single selected candidate writer,BUILD,Platform/Governance,P0,Producer lease required
SRV-008,Processes,service/process,intelligence-gateway,Current sole judged_live producer,Treatment decision producer only,REPAIR,Intelligence,P1,Arm and candidate authority separation
SRV-009,Processes,service/process,shadowexec,Optional current shadow process,Offline/test harness only or remove,RETIRE,Execution,P1,No duplicate/shadow executor in prod money path
SRV-010,Processes,service/process,crossvenueobs,Current observer,Read-only optional feature source,DEFER,Data/Execution,P2,Separate venue clock certification
SRV-011,Processes,service/process,kronos,Current forecast/time service,Treatment-only,RETAIN,Forecast,P2,No ORIGIN readiness dependency
SRV-012,Processes,service/process,databankresolve,Current maintenance process,Projection/reconciliation maintenance,REPAIR,Data,P2,Ownership and write scope
SRV-013,Processes,service/process,mcp,Current evidence process,Strict read-only evidence surface,REPAIR,Evidence,P1,Dark/unavailable family truth
SRV-014,Processes,service/process,gui,Current operator interface,Read-only by default; controls separately signed,REPAIR,Operations,P1,No implicit activation
SRV-015,Processes,service/process,prometheus,Configured in source; runtime availability not proven,Certified metrics dependency or honest local fallback,REPAIR,SRE,P1,Dated MCP reported unavailable dependencies
SRV-016,Processes,service/process,venuegateway-$lane,Current per-account keeper,E09 VGP sole raw-credential role,RETAIN,Execution,P0,Least privilege and route certification
SRV-017,Processes,service/process,exposurefeed-$lane,Current per-account keeper,Authoritative account exposure input to reconciler/risk,REPAIR,Risk/Execution,P0,Private stream/session continuity
SRV-018,Processes,service/process,capskeeper-$lane,Current caps keeper,E08 policy projection only,REPAIR,Risk,P1,Single risk policy/manifest
SRV-019,Processes,service/process,liveoutcomes-$lane,Current outcome process,E10 outcome.v2 publisher from strict v3 facts,REPAIR,Outcomes,P1,Fill v3 join completeness
SRV-020,Processes,service/process,liveexec-$lane,Couples policy/risk/order/exit,Transitional orchestrator with contract-separated E07/E08/E09 ownership,REPAIR,Risk/Execution,P0,Command authorship and secrets separation
SRV-021,Processes,service/process,fillrecorder-$lane,Current fill evidence writer,Strict fill.v3 authoritative normalizer/recorder,REPAIR,Execution,P0,Dual-publish and quarantine
SRV-022,Processes,service/process,reconciler-$lane,Current reconciler,Authoritative position/protection reconciliation,REPAIR,Execution,P0,Regular+algo+account facts
SRV-023,Processes,service/process,ttfexport-$lane,Current time-to-fill exporter,Evidence projection only,RETAIN,Execution evidence,P2,No truth origination
SRV-024,Processes,service/process,lease-coordinator,Absent,Monotonic producer fencing per authority scope,BUILD,Platform,P0,Before any treatment money path
SRV-025,Processes,service/process,replay-runner,Partial estate capabilities,Same-code deterministic CLI/batch runner,BUILD,ORIGIN,P0,Sealed tapes/checkpoints/receipts
MOD-001,ORIGIN modules,software module,contract_ingress,Not present as clean ORIGIN module,Contract gate,BUILD,ORIGIN,P0,Unit/property/golden/replay tests required
